Date,Year,Month Number,Fiscal Year,Fiscal Month,Day,Day Name,Month Name,Quarter Number,Fiscal Quarter,FQuarter Name,Week No,Sort FWeek no,Fiscal Year-Quarter,Year-Month,Year Week,Sort FMonthYear,Sort FQuarterYear,SortYearWeek
12/18/2022,2022,12,2023,6,18,Sun,Dec,4,2,Q2,51,25,2023Q02,2022-Dec,2022-51,202306,202204,202225
12/19/2022,2022,12,2023,6,19,Mon,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/20/2022,2022,12,2023,6,20,Tue,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/21/2022,2022,12,2023,6,21,Wed,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/22/2022,2022,12,2023,6,22,Thu,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/23/2022,2022,12,2023,6,23,Fri,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/24/2022,2022,12,2023,6,24,Sat,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/25/2022,2022,12,2023,6,25,Sun,Dec,4,2,Q2,52,26,2023Q02,2022-Dec,2022-52,202306,202204,202226
12/26/2022,2022,12,2023,6,26,Mon,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
12/27/2022,2022,12,2023,6,27,Tue,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
12/28/2022,2022,12,2023,6,28,Wed,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
12/29/2022,2022,12,2023,6,29,Thu,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
12/30/2022,2022,12,2023,6,30,Fri,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
12/31/2022,2022,12,2023,6,31,Sat,Dec,4,2,Q2,53,27,2023Q02,2022-Dec,2022-53,202306,202204,202227
1/1/2023,2023,1,2023,7,1,Sun,Jan,1,3,Q3,1,27,2023Q03,2023-Jan,2023-01,202307,202301,202327
1/2/2023,2023,1,2023,7,2,Mon,Jan,1,3,Q3,2,28,2023Q03,2023-Jan,2023-02,202307,202301,202328
